generic_name,total_reports,hosp_reports,death_reports,hosp_per_1000,death_per_1000
liraglutide,9978,1779,348,178.2922429344558,34.87672880336741
semaglutide,14992,2400,215,160.08537886872998,14.340981856990394
lixisenatide,19,2,0,105.26315789473684,0.0
dulaglutide,4994,508,51,101.72206647977573,10.212254705646776
exenatide,9236,929,664,100.58466868774362,71.89259419662191
tirzepatide,9969,244,7,24.475875213160798,0.7021767479185476
albiglutide,4982,121,8,24.287434765154558,1.6057808109193097
