generic_name,month,n_reports,roll_mean,zscore,known_event
albiglutide,2014-12-01,36,12.666666666666666,2.0759543905120768,
albiglutide,2015-01-01,71,18.5,3.536870844496662,
albiglutide,2015-02-01,102,29.0,2.7271860249704525,
albiglutide,2015-03-01,162,41.166666666666664,3.160873807287397,
albiglutide,2015-10-01,433,135.16666666666666,12.442527912886284,
albiglutide,2016-06-01,483,362.5,2.651651856149203,
albiglutide,2016-08-01,29,405.6666666666667,-8.427862052541702,
dulaglutide,2015-01-01,23,4.666666666666667,2.8867513459481287,
dulaglutide,2015-02-01,53,9.25,4.1541258807609704,
dulaglutide,2015-03-01,154,18.0,6.300078342724281,
dulaglutide,2015-10-01,214,137.5,2.180646832056741,
dulaglutide,2015-12-01,252,159.66666666666666,2.803046505875078,
dulaglutide,2016-03-01,385,185.66666666666666,3.8734599704204493,
dulaglutide,2016-11-01,243,352.5,-4.385265479761433,
exenatide,2014-04-01,100,20.666666666666668,2.5871093564376206,
exenatide,2014-05-01,2088,40.5,43.64954001572416,
exenatide,2014-12-01,1029,98.33333333333333,26.16600698051049,
exenatide,2015-09-01,666,380.0,6.922687319153947,
exenatide,2015-11-01,93,410.0,-2.5097153582909577,
exenatide,2016-07-01,24,98.83333333333333,-4.529395897810067,
liraglutide,2014-03-01,72,15.333333333333334,3.089887809172668,
liraglutide,2014-04-01,147,29.5,3.666508066558993,
liraglutide,2014-05-01,211,53.0,2.6587498699078136,
liraglutide,2014-09-01,461,129.33333333333334,6.9401115821747394,
liraglutide,2015-08-01,2074,201.33333333333334,58.31994513620255,
liraglutide,2019-02-01,276,23.833333333333332,46.853109259941114,
liraglutide,2020-02-01,277,25.0,45.407248119756474,
liraglutide,2021-01-01,15,22.166666666666668,-2.0216555269891985,
liraglutide,2021-02-01,34,20.5,3.190856349905708,
liraglutide,2021-03-01,232,22.666666666666668,30.00700070519735,
liraglutide,2021-11-01,42,28.666666666666668,2.8777723153357577,
liraglutide,2022-02-01,245,29.666666666666668,26.860764910207283,
liraglutide,2022-09-01,37,25.166666666666668,2.490998071730547,
liraglutide,2023-02-01,57,35.666666666666664,5.813379356073165,
lixisenatide,2021-07-01,2,1.1666666666666667,2.0412414523193148,
semaglutide,2015-05-01,2,1.0,inf,
semaglutide,2015-09-01,2,1.1666666666666667,2.0412414523193148,
semaglutide,2016-07-01,3,1.3333333333333333,3.227486121839514,
semaglutide,2017-12-01,4,1.3333333333333333,5.1639777949432215,"Ozempic FDA approval (semaglutide injectable, T2D)"
semaglutide,2018-03-01,19,2.5,11.97035812681519,
semaglutide,2018-06-01,141,8.166666666666666,21.730258470952254,
semaglutide,2018-09-01,338,38.0,5.8862013897014425,
semaglutide,2018-12-01,511,97.66666666666667,3.2714239255847195,
semaglutide,2019-07-01,648,62.666666666666664,34.1218619807815,
semaglutide,2020-01-01,916,204.16666666666666,3.265573405566686,
semaglutide,2021-01-01,264,65.33333333333333,2.461230234132117,
semaglutide,2021-07-01,294,64.33333333333333,2.3425294628148023,
semaglutide,2021-12-01,393,111.33333333333333,2.6201984965315903,
semaglutide,2022-03-01,516,176.33333333333334,2.2984965004801414,
semaglutide,2022-06-01,679,234.16666666666666,2.229172133730409,
semaglutide,2023-01-01,482,105.66666666666667,3.739279877514776,
semaglutide,2023-07-01,850,170.0,4.403679600202276,
semaglutide,2024-01-01,1116,256.3333333333333,2.9518939594866276,
tirzepatide,2017-05-01,2,1.0,inf,
tirzepatide,2017-09-01,3,1.1666666666666667,4.490731195102493,
tirzepatide,2019-03-01,3,1.3333333333333333,2.041241452319315,
tirzepatide,2019-05-01,3,1.3333333333333333,2.041241452319315,
tirzepatide,2019-10-01,5,1.6666666666666667,3.2274861218395143,
tirzepatide,2020-08-01,7,1.3333333333333333,10.973452814254369,
tirzepatide,2021-11-01,7,2.6666666666666665,3.5781322366606734,
tirzepatide,2022-02-01,9,2.6666666666666665,2.931763649279747,
tirzepatide,2022-07-01,128,5.833333333333333,36.89057314587846,
tirzepatide,2022-08-01,385,26.833333333333332,7.215814789696707,
tirzepatide,2022-09-01,758,89.5,4.37533170651726,
tirzepatide,2022-10-01,1335,214.5,3.681311001913735,
tirzepatide,2023-12-01,18,1.8333333333333333,39.60008418163132,
tirzepatide,2024-01-01,303,4.5,45.05179251832486,
tirzepatide,2024-02-01,541,54.666666666666664,3.991831658397065,
tirzepatide,2024-03-01,675,144.66666666666666,2.3290031580394865,Wegovy gets cardiovascular-risk-reduction FDA label expansion
tirzepatide,2024-07-01,1005,632.8333333333334,2.008195192570037,
tirzepatide,2024-08-01,131,749.8333333333334,-4.006105678614613,Compounded-semaglutide litigation / FDA shortage-resolution news
