generic_name,month,n_reports,roll_mean,roll_std,zscore,is_anomaly
albiglutide,2014-09-01,3,,,,False
albiglutide,2014-10-01,10,,,,False
albiglutide,2014-11-01,25,,,,False
albiglutide,2014-12-01,36,12.666666666666666,11.239810200058244,2.0759543905120768,True
albiglutide,2015-01-01,71,18.5,14.843629385474879,3.536870844496662,True
albiglutide,2015-02-01,102,29.0,26.767517628648346,2.7271860249704525,True
albiglutide,2015-03-01,162,41.166666666666664,38.22782581663083,3.160873807287397,True
albiglutide,2015-04-01,124,67.66666666666667,56.986548120294735,0.9885373863041763,False
albiglutide,2015-05-01,116,86.66666666666667,52.76236032122395,0.5559518784745086,False
albiglutide,2015-06-01,129,101.83333333333333,43.81057710949113,0.6200937869129618,False
albiglutide,2015-07-01,162,117.33333333333333,30.19713010646324,1.479169262416313,False
albiglutide,2015-08-01,112,132.5,24.606909598728617,-0.8330993340609985,False
albiglutide,2015-09-01,168,134.16666666666666,22.36440624444721,1.5128205490245787,False
albiglutide,2015-10-01,433,135.16666666666666,23.93672213705689,12.442527912886284,True
albiglutide,2015-11-01,215,186.66666666666666,122.90755333447441,0.23052556628662552,False
albiglutide,2015-12-01,376,203.16666666666666,118.07356463945126,1.4637767044731493,False
albiglutide,2016-01-01,275,244.33333333333334,129.544844230354,0.23672626146460773,False
albiglutide,2016-02-01,384,263.1666666666667,123.2419030470833,0.980456568308347,False
albiglutide,2016-03-01,356,308.5,105.22499703017347,0.45141365018408397,False
albiglutide,2016-04-01,403,339.8333333333333,79.98353997333878,0.7897458237997752,False
albiglutide,2016-05-01,381,334.8333333333333,73.68423621553447,0.6265474006085118,False
albiglutide,2016-06-01,483,362.5,45.44337135380706,2.651651856149203,True
albiglutide,2016-07-01,427,380.3333333333333,67.46159401219835,0.6917516158635157,False
albiglutide,2016-08-01,29,405.6666666666667,44.69302704747882,-8.427862052541702,True
dulaglutide,2014-06-01,1,,,,False
dulaglutide,2014-10-01,1,,,,False
dulaglutide,2014-12-01,12,,,,False
dulaglutide,2015-01-01,23,4.666666666666667,6.3508529610858835,2.8867513459481287,True
dulaglutide,2015-02-01,53,9.25,10.531698185319721,4.1541258807609704,True
dulaglutide,2015-03-01,154,18.0,21.587033144922902,6.300078342724281,True
dulaglutide,2015-04-01,125,40.666666666666664,58.783217559662944,1.4346498343296352,False
dulaglutide,2015-05-01,76,61.333333333333336,63.64484791926733,0.23044546646212655,False
dulaglutide,2015-06-01,150,73.83333333333333,56.37523096774563,1.3510661572321443,False
dulaglutide,2015-07-01,136,96.83333333333333,54.21223724092805,0.7224691077146217,False
dulaglutide,2015-08-01,163,115.66666666666667,41.5916658318306,1.138048510120231,False
dulaglutide,2015-09-01,175,134.0,31.451550041293647,1.303592349062921,False
dulaglutide,2015-10-01,214,137.5,35.08133406813371,2.180646832056741,True
dulaglutide,2015-11-01,120,152.33333333333334,45.889722887228956,-0.7045876788750812,False
dulaglutide,2015-12-01,252,159.66666666666666,32.94035012969147,2.803046505875078,True
dulaglutide,2016-01-01,135,176.66666666666666,49.24090440544999,-0.8461799629751517,False
dulaglutide,2016-02-01,218,176.5,49.40748931083219,0.8399536300846087,False
dulaglutide,2016-03-01,385,185.66666666666666,51.46131232942533,3.8734599704204493,True
dulaglutide,2016-04-01,243,220.66666666666666,95.40579996345434,0.2340877948918015,False
dulaglutide,2016-05-01,345,225.5,95.73452877619441,1.2482434658383692,False
dulaglutide,2016-06-01,384,263.0,90.04221232288774,1.3438141609193128,False
dulaglutide,2016-07-01,312,285.0,102.13128805610941,0.26436560738533527,False
dulaglutide,2016-08-01,366,314.5,70.9387059368861,0.725978847793183,False
dulaglutide,2016-09-01,343,339.1666666666667,54.499235468643626,0.07033737813696193,False
dulaglutide,2016-10-01,365,332.1666666666667,49.94163259913179,0.6574341210844618,False
dulaglutide,2016-11-01,243,352.5,24.96998197836748,-4.385265479761433,True
exenatide,2013-01-01,5,,,,False
exenatide,2014-01-01,1,,,,False
exenatide,2014-03-01,56,,,,False
