month,Ozempic,LLY,NVO,roll_corr_LLY,roll_corr_NVO
2018-01-01,0,75.84899720691499,23.161896024431503,,
2018-02-01,0,69.26966416208367,21.149737408286647,,
2018-03-01,0,69.42405083065941,20.775031952630904,,
2018-04-01,0,70.89598228817894,20.293906802222843,,
2018-05-01,0,72.80482586947355,20.221871722828258,,
2018-06-01,1,77.05725497291202,19.188395818074543,,
2018-07-01,1,81.41234951927548,20.779549553280784,,
2018-08-01,2,93.34895357878312,20.516530410103176,,
2018-09-01,1,95.86311741879112,20.28806535821212,,
2018-10-01,1,99.90017766537873,18.307022426439367,,
2018-11-01,2,101.75024050757999,18.895653225126722,,
2018-12-01,1,102.18066004702919,19.276734904239053,0.8038930987757843,-0.5221516975953865
2019-01-01,2,105.51049114408947,20.05095100402832,0.8332701311960419,-0.3962541721357815
2019-02-01,2,110.75973069040398,20.832800413432874,0.834907583300051,-0.13036948574257634
2019-03-01,2,116.01048460460845,21.58151454017276,0.815741727872049,0.1686802847017097
2019-04-01,2,111.72500683012463,21.4527462550572,0.775580271264802,0.33741437737916136
2019-05-01,2,106.50056977705522,20.501045660539106,0.6666111614958807,0.4921242193113392
2019-06-01,2,105.19561653137207,21.782202911376952,0.6104845539707984,0.47442671481154214
2019-07-01,2,100.90558554909445,21.163390159606934,0.44315515598960153,0.6026994314044638
2019-08-01,3,102.8998135653409,21.964520020918414,0.41300214904388266,0.6767454457059545
2019-09-01,2,103.95412101745606,22.36057357788086,0.23136663050795475,0.6877923791484474
2019-10-01,3,100.70634360935377,22.788819354513418,-0.15553312029156377,0.6534557199386762
2019-11-01,2,105.81520614624023,24.478081798553468,-0.17371610449939168,0.5159330936124886
2019-12-01,2,116.13735089983258,24.85024034409296,-0.47225543523586044,0.12513094361968172
2020-01-01,3,128.2874726795015,25.86868767511277,0.11679173139090192,0.3779336049279142
2020-02-01,3,130.8990068937603,27.077459134553607,0.357185056125361,0.5103140072975865
2020-03-01,2,125.10579334605823,24.681813500144266,0.2821367658437737,0.41812073189513294
2020-04-01,2,140.96501668294272,27.173952465965634,0.09317499259608514,0.22722573488492054
2020-05-01,2,144.52854690551757,28.01219758987427,-0.06477916224033838,0.023558278271328562
2020-06-01,3,145.44439766623756,28.893046379089355,0.0590606772880088,0.1313325055383854
2020-07-01,3,152.9998515735973,29.19941928169944,0.11503539763332095,0.1475796408360789
2020-08-01,3,142.25044904436385,29.06862985520136,0.3106307958690027,0.412208990852422
2020-09-01,3,140.9949449811663,29.968172345842635,0.24882325975547795,0.38532801090431296
2020-10-01,3,135.60703971169212,30.960361654108222,0.49526005265694467,0.6778589641357246
2020-11-01,3,134.89556427001952,29.917608737945557,0.35060283688557115,0.6427736529221798
2020-12-01,3,152.31698955189097,30.887498422102496,0.18103845215641892,0.5691634630026468
2021-01-01,4,180.25686163651315,31.513659928974352,0.6431249681063612,0.7669727413957909
2021-02-01,5,192.61074829101562,32.16063890959087,0.8591707987405003,0.8246151729892356
2021-03-01,5,184.63340825619906,31.1264822586723,0.8758018847724586,0.8315598709711302
2021-04-01,6,176.0815894717262,32.17205946786063,0.8333451377997299,0.8276157031642479
2021-05-01,5,186.7915054321289,35.14199428558349,0.8658229840945516,0.7317895625524269
2021-06-01,7,210.73401156338778,37.05006911537864,0.9036039995969456,0.8403806072320246
2021-07-01,7,227.11568269275483,39.53789465767996,0.9293386099232694,0.8617025323038113
2021-08-01,7,252.86192321777344,45.835122021761805,0.9178935185118317,0.8033321694681469
2021-09-01,7,228.01745387486048,45.17388752528599,0.9176530613435684,0.8079777482226523
2021-10-01,7,229.13861156645277,46.08329155331566,0.9086199171527566,0.8162362283612348
2021-11-01,7,249.93146187918526,50.66622379847935,0.8744662185214211,0.7863406038859202
2021-12-01,7,250.91912911155006,49.97824270075018,0.8254004880097932,0.800574345606289
2022-01-01,9,241.084375,44.74588394165039,0.7607531427093486,0.7057013301844259
2022-02-01,10,234.11879930998148,45.94724976389032,0.6307201110214775,0.5996704237594497
2022-03-01,11,265.7037598983101,48.181298960810125,0.648454988581712,0.5195485913289984
2022-04-01,11,286.04784698486327,52.5099178314209,0.7397723897756376,0.5770419225881996
2022-05-01,14,288.1746390206473,49.14472034999302,0.7635553050909196,0.4290709045575774
2022-06-01,16,296.8397274925595,50.22611563546317,0.841820938618101,0.4485536466336678
2022-07-01,17,317.5632049560547,51.494815254211424,0.8901739212724096,0.5164489267886526
2022-08-01,19,303.0856057871943,48.855382504670516,0.9016820163402894,0.4080941907470837
2022-09-01,19,302.93963623046875,46.73651867821103,0.8960288599990981,0.15685432107132666
2022-10-01,26,327.9836890811012,48.396286919003444,0.8959203883179195,-0.018275168227729847
2022-11-01,30,351.1885274251302,52.765946161179315,0.9199079691169846,0.35356831164591085
2022-12-01,30,356.4683329264323,60.076433999197825,0.9317360379400105,0.6385110578384355
2023-01-01,51,343.8314682006836,63.16161766052246,0.7848621627174378,0.8100404694278588
2023-02-01,55,325.76732113486844,64.30427089490388,0.6940706003187219,0.866889112745851
2023-03-01,66,319.69812144403875,67.33892391038978,0.523308528139743,0.9049895014113442
2023-04-01,64,364.93344437448604,76.20301096062911,0.5850794475221454,0.9306862326318089
2023-05-01,72,420.59603604403407,76.81481968272816,0.6676040635327792,0.9455854664675701
2023-06-01,83,441.9938310895647,73.44816335042317,0.7430205596678738,0.9395783389089984
2023-07-01,67,444.99342041015626,73.59627227783203,0.733763098091408,0.9428996373716803
2023-08-01,61,514.085508927055,83.29563903808594,0.598261198318855,0.8780791450951869
2023-09-01,58,557.4932312011719,87.65784339904785,0.42777136976625085,0.7484453593546455
2023-10-01,59,566.7875810102983,88.95183528553356,0.30392231058345015,0.5848284279000057
2023-11-01,58,583.2550252278646,93.91941833496094,0.16067732616189276,0.3065593271262744
2023-12-01,63,572.672250366211,92.78968772888183,-0.04833039389082435,-0.04815610559839765
2024-01-01,69,619.5620553152902,99.28155553908576,-0.13874112394267013,-0.17432360717323747
2024-02-01,72,729.605746459961,111.91589584350587,-0.14902707882799276,-0.16507399930797642
2024-03-01,86,758.8875061035156,121.18112297058106,0.23067492211155052,0.2936928949310929
2024-04-01,87,742.6841153231534,117.46735382080078,0.37649797362413573,0.4436619054735781
2024-05-01,100,773.0672219016335,122.66179518266158,0.5926181423282898,0.6300830194704081
2024-06-01,84,863.1087903474506,132.88864657753393,0.8034745547113086,0.8332598239818604
2024-07-01,77,873.0913973721591,127.51317145607688,0.7996400150514448,0.8619530432077332
2024-08-01,72,888.8147777210582,124.74445828524503,0.6858914906377461,0.8110004684262409
2024-09-01,72,906.1638641357422,122.36423683166504,0.547881656119064,0.7464208297707381
2024-10-01,66,890.1800404424253,109.07952350118886,0.33817539198720714,0.6937018845349353
2024-11-01,63,775.6503356933594,99.5597312927246,0.14980941178883578,0.6591552691505139
2024-12-01,63,784.6702503022693,95.09326498849052,-0.06884941452186037,0.6588308620743293
2025-01-01,65,770.8491729736328,79.00070877075196,-0.19390193751805176,0.6455122273696032
2025-02-01,66,863.7171277497944,80.00296944066098,-0.2924059723553473,0.6592965203122656
2025-03-01,63,842.437273297991,73.95040566580636,-0.22412436378541145,0.6743288730703517
2025-04-01,61,792.9304606119791,60.5110357375372,0.01944044673317585,0.6928518631145552
2025-05-01,60,744.9954194568452,64.29201089768182,0.6413506819035404,0.8569103254362508
2025-06-01,57,778.7339263916016,70.09208679199219,0.7650175618810927,0.8691359748823836
2025-07-01,59,776.6636186079545,63.05973677201705,0.8160388023077394,0.8600293157051703
2025-08-01,59,701.3236403692337,50.21758760724749,0.7895881694947725,0.8201448283407164
2025-09-01,51,743.3349173409598,54.77724384126209,0.6441534790782946,0.6955083770038485
2025-10-01,52,824.5308944038723,53.627565632695735,0.31171208534233985,0.6884925276592071
2025-11-01,52,1006.9434718081826,46.25670021458676,-0.18489105351673388,0.7674540702810733
2025-12-01,50,1043.4997447620738,47.48442528464577,-0.41337802441368854,0.8491787857732139
2026-01-01,51,1058.4549072265625,57.143762016296385,-0.4872259129737619,0.79641183178652
2026-02-01,50,1035.4836554276317,44.62902651335064,-0.6605028639379866,0.7450463311106772
2026-03-01,57,952.1822731711648,36.35364757884633,-0.6829507304159819,0.43529615712606107
2026-04-01,51,925.3129487879136,38.69941150440889,-0.6843734851905523,0.445475492780822
