month,Ozempic,baseline,delta
2023-01-01,51,28.666666666666668,22.333333333333332
2023-02-01,55,37.0,18.0
2023-03-01,66,45.333333333333336,20.666666666666664
2024-03-01,86,68.0,18.0
2024-05-01,100,81.66666666666667,18.33333333333333
