geo,mean_2018,mean_2025,absolute_change,pct_growth,from_zero
WORLD,0.5,78.16666666666667,77.66666666666667,15533.333333333334,False
IN,0.25,64.25,64.0,25600.0,False
US,0.75,57.916666666666664,57.166666666666664,7622.222222222222,False
PK,0.0,86.91666666666667,86.91666666666667,,True
SA,0.0,51.083333333333336,51.083333333333336,,True
AE,0.0,48.333333333333336,48.333333333333336,,True
GB,0.0,11.583333333333334,11.583333333333334,,True
