lead_sponsor,n_trials,share_pct
Psychiatric Centre Rigshospitalet,2,0.10240655401945725
"Qilu Pharmaceutical Co., Ltd.",2,0.10240655401945725
Amgen,2,0.10240655401945725
Regeneron Pharmaceuticals,2,0.10240655401945725
Anna Cruceta,2,0.10240655401945725
Cliniques universitaires Saint-Luc- Université Catholique de Louvain,2,0.10240655401945725
Rijnstate Hospital,2,0.10240655401945725
"Rutgers, The State University of New Jersey",2,0.10240655401945725
S.LAB (SOLOWAYS),2,0.10240655401945725
Arrowhead Pharmaceuticals,2,0.10240655401945725
Gan & Lee Pharmaceuticals.,2,0.10240655401945725
"Gan and Lee Pharmaceuticals, USA",2,0.10240655401945725
Garvan Institute of Medical Research,2,0.10240655401945725
Seoul National University Hospital,2,0.10240655401945725
Shahid Beheshti University of Medical Sciences,2,0.10240655401945725
Shanghai 10th People's Hospital,2,0.10240655401945725
Geisinger Clinic,2,0.10240655401945725
Signe Torekov,2,0.10240655401945725
"General Committee of Teaching Hospitals and Institutes, Egypt",2,0.10240655401945725
State University of New York at Buffalo,2,0.10240655401945725
Attikon Hospital,2,0.10240655401945725
"Ian J. Neeland, MD",2,0.10240655401945725
"Sunshine Lake Pharma Co., Ltd.",2,0.10240655401945725
"Taipei Veterans General Hospital, Taiwan",2,0.10240655401945725
Temple University,2,0.10240655401945725
Texas Tech University,2,0.10240655401945725
Medical University of Graz,2,0.10240655401945725
Indiana University,2,0.10240655401945725
Loma Linda University,2,0.10240655401945725
Hadassah Medical Organization,2,0.10240655401945725
Bispebjerg Hospital,2,0.10240655401945725
Instituto Mexicano del Seguro Social,2,0.10240655401945725
Bo Feldt-Rasmussen,2,0.10240655401945725
"Hangzhou Jiuyuan Gene Engineering Co. Ltd.,",2,0.10240655401945725
Tina Vilsboll,2,0.10240655401945725
"Tonghua Dongbao Pharmaceutical Co.,Ltd",2,0.10240655401945725
"Hangzhou Sciwind Biosciences Co., Ltd.",2,0.10240655401945725
Carl T. Hayden VA Medical Center,2,0.10240655401945725
Esbjerg Hospital - University Hospital of Southern Denmark,2,0.10240655401945725
Federico II University,2,0.10240655401945725
Filip Krag Knop,2,0.10240655401945725
University Hospital Tuebingen,2,0.10240655401945725
Katarina Kos,2,0.10240655401945725
Centre Hospitalier Universitaire de Besancon,2,0.10240655401945725
Hospital Israelita Albert Einstein,2,0.10240655401945725
Hospital Universitari Vall d'Hebron Research Institute,2,0.10240655401945725
"Janssen Research & Development, LLC",2,0.10240655401945725
"Charles University, Czech Republic",2,0.10240655401945725
University of Athens,2,0.10240655401945725
"University of California, Davis",2,0.10240655401945725
"Chen Wei Ren, MD",2,0.10240655401945725
"University of California, San Diego",2,0.10240655401945725
University of Campania Luigi Vanvitelli,2,0.10240655401945725
Fondation Hôpital Saint-Joseph,2,0.10240655401945725
Children's Hospital Los Angeles,2,0.10240655401945725
University of Copenhagen,2,0.10240655401945725
"Medanta, The Medicity, India",2,0.10240655401945725
China-Japan Friendship Hospital,2,0.10240655401945725
University of Luebeck,2,0.10240655401945725
Milton S. Hershey Medical Center,2,0.10240655401945725
Chinese Academy of Sciences,2,0.10240655401945725
University of Michigan,2,0.10240655401945725
UNC Lineberger Comprehensive Cancer Center,2,0.10240655401945725
University of New Mexico,2,0.10240655401945725
National Institute on Drug Abuse (NIDA),2,0.10240655401945725
University of Nottingham,2,0.10240655401945725
National University of Singapore,2,0.10240655401945725
University of Oxford,2,0.10240655401945725
University of Padova,2,0.10240655401945725
Cedars-Sinai Medical Center,2,0.10240655401945725
Nazarbayev University,2,0.10240655401945725
4Moving Biotech,2,0.10240655401945725
Nordsjaellands Hospital,2,0.10240655401945725
Novartis Pharmaceuticals,2,0.10240655401945725
Aalborg University Hospital,2,0.10240655401945725
Universitätsklinikum Hamburg-Eppendorf,2,0.10240655401945725
Uppsala University,2,0.10240655401945725
Vanda Pharmaceuticals,2,0.10240655401945725
Ohio State University,2,0.10240655401945725
Veru Inc.,2,0.10240655401945725
"Vivani Medical, Inc",2,0.10240655401945725
Parker Research Institute,2,0.10240655401945725
Weill Medical College of Cornell University,2,0.10240655401945725
"Western University, Canada",2,0.10240655401945725
Christina Kruuse,2,0.10240655401945725
